COUNTYFIPS,NAME,STATEPLANEFIPS,EPSG
27019,Carver County,2203,26993
51051,Dickenson County,4502,32147
39151,Stark County,3401,32122
19163,Scott County,1402,26976
27015,Brown County,2203,26993
27017,Carlton County,2202,26992
27011,Big Stone County,2203,26993
19169,Story County,1401,26975
39159,Union County,3401,32122
55009,Brown County,4802,32153
55003,Ashland County,4801,32152
37109,Lincoln County,3200,32119
55007,Bayfield County,4801,32152
55005,Barron County,4802,32153
22031,De Soto Parish,1701,26981
22033,East Baton Rouge Parish,1702,26982
22035,East Carroll Parish,1701,26981
22037,East Feliciana Parish,1702,26982
22039,Evangeline Parish,1702,26982
06011,Colusa County,0402,26942
06013,Contra Costa County,0403,26943
06015,Del Norte County,0401,26941
06017,El Dorado County,0402,26942
06019,Fresno County,0404,26944
01043,Cullman County,0102,26930
02068,Denali Borough,5004,26934
06043,Mariposa County,0403,26943
02060,Bristol Bay Borough,5006,26936
39023,Clark County,3402,32123
16003,Adams County,1103,26970
39021,Champaign County,3402,32123
36029,Erie County,3103,32117
39027,Clinton County,3402,32123
16007,Bear Lake County,1101,26968
39025,Clermont County,3402,32123
16005,Bannock County,1101,26968
27121,Pope County,2202,26992
39029,Columbiana County,3401,32122
16009,Benewah County,1103,26970
27125,Red Lake County,2201,26991
27127,Redwood County,2203,26993
42129,Westmoreland County,3702,32129
21139,Livingston County,1602,26980
21131,Leslie County,1602,26980
21133,Letcher County,1602,26980
21135,Lewis County,1601,2205
21137,Lincoln County,1602,26980
12027,DeSoto County,0902,26959
12021,Collier County,0901,26958
12023,Columbia County,0903,26960
06047,Merced County,0403,26943
12029,Dixie County,0903,26960
46073,Jerauld County,4002,32135
46071,Jackson County,4002,32135
46077,Kingsbury County,4001,32134
42009,Bedford County,3702,32129
46075,Jones County,4002,32135
42007,Beaver County,3702,32129
42005,Armstrong County,3702,32129
46079,Lake County,4002,32135
42003,Allegheny County,3702,32129
42001,Adams County,3702,32129
48369,Parmer County,4201,32137
51125,Nelson County,4502,32147
51127,New Kent County,4502,32147
51121,Montgomery County,4502,32147
45015,Berkeley County,3900,32133
48025,Bee County,4204,32140
45011,Barnwell County,3900,32133
12111,St. Lucie County,0901,26958
12113,Santa Rosa County,0903,26960
12115,Sarasota County,0902,26959
12117,Seminole County,0901,26958
22083,Richland Parish,1701,26981
12119,Sumter County,0902,26959
08113,San Miguel County,0503,26955
26059,Hillsdale County,2113,26990
17199,Williamson County,1201,26971
17197,Will County,1201,26971
26053,Gogebic County,2111,26988
17195,Whiteside County,1202,26972
26051,Gladwin County,2112,26989
17193,White County,1201,26971
26057,Gratiot County,2113,26990
17191,Wayne County,1201,26971
26055,Grand Traverse County,2112,26989
48209,Hays County,4204,32140
48203,Harrison County,4202,32138
45019,Charleston County,3900,32133
48201,Harris County,4204,32140
48207,Haskell County,4202,32138
48205,Hartley County,4201,32137
17175,Stark County,1202,26972
17177,Stephenson County,1202,26972
17171,Scott County,1202,26972
08115,Sedgwick County,0501,26953
01079,Lawrence County,0102,26930
01077,Lauderdale County,0102,26930
01075,Lamar County,0102,26930
17179,Tazewell County,1202,26972
01071,Jackson County,0101,26929
48339,Montgomery County,4203,32139
48337,Montague County,4202,32138
48335,Mitchell County,4202,32138
48333,Mills County,4203,32139
48331,Milam County,4203,32139
48441,Taylor County,4202,32138
48115,Dawson County,4202,32138
48445,Terry County,4202,32138
48447,Throckmorton County,4202,32138
40153,Woodward County,3501,32124
40151,Woods County,3501,32124
48119,Delta County,4202,32138
36001,Albany County,3101,32115
48145,Falls County,4203,32139
48147,Fannin County,4202,32138
13089,DeKalb County,1002,26967
13085,Dawson County,1002,26967
13087,Decatur County,1002,26967
13081,Crisp County,1002,26967
13083,Dade County,1002,26967
48141,El Paso County,4203,32139
13243,Randolph County,1002,26967
13241,Rabun County,1002,26967
13247,Rockdale County,1002,26967
13245,Richmond County,1001,26966
36101,Steuben County,3102,32116
36103,Suffolk County,3104,32118
48143,Erath County,4202,32138
36105,Sullivan County,3101,32115
36107,Tioga County,3102,32116
31069,Garden County,2600,32104
19153,Polk County,1402,26976
48063,Camp County,4202,32138
48061,Cameron County,4205,32141
48067,Cass County,4202,32138
13155,Irwin County,1002,26967
48065,Carson County,4201,32137
48069,Castro County,4201,32137
20043,Doniphan County,1501,26977
20041,Dickinson County,1501,26977
20047,Edwards County,1502,26978
20045,Douglas County,1501,26977
21081,Grant County,1601,2205
37187,Washington County,3200,32119
20049,Elk County,1502,26978
37185,Warren County,3200,32119
37183,Wake County,3200,32119
37181,Vance County,3200,32119
01095,Marshall County,0101,26929
01097,Mobile County,0102,26930
01091,Marengo County,0102,26930
34039,Union County,2900,32111
01093,Marion County,0102,26930
01099,Monroe County,0102,26930
72081,Lares Muno,5200,32161
18173,Warrick County,1302,26974
72085,Las Piedras Muno,5200,32161
18177,Wayne County,1301,26973
18179,Wells County,1301,26973
54035,Jackson County,4702,32151
29031,Cape Girardeau County,2401,26996
54037,Jefferson County,4701,32150
54031,Hardy County,4701,32150
54033,Harrison County,4701,32150
54039,Kanawha County,4702,32151
40015,Caddo County,3502,32125
29131,Miller County,2402,26997
29133,Mississippi County,2401,26996
29135,Moniteau County,2402,26997
45061,Lee County,3900,32133
29139,Montgomery County,2401,26996
18085,Kosciusko County,1301,26973
48091,Comal County,4204,32140
18081,Johnson County,1301,26973
18083,Knox County,1302,26974
18089,Lake County,1302,26974
45065,McCormick County,3900,32133
31009,Blaine County,2600,32104
40119,Payne County,3501,32124
35059,Union County,3001,32112
31005,Arthur County,2600,32104
35057,Torrance County,3002,32113
31007,Banner County,2600,32104
45067,Marion County,3900,32133
31001,Adams County,2600,32104
35053,Socorro County,3002,32113
31003,Antelope County,2600,32104
35051,Sierra County,3003,32114
19197,Wright County,1401,26975
45069,Marlboro County,3900,32133
40115,Ottawa County,3501,32124
55129,Washburn County,4801,32152
11001,District of Columbia None,1900,26985
13051,Chatham County,1001,26966
55121,Trempealeau County,4802,32153
55123,Vernon County,4803,32154
55125,Vilas County,4801,32152
55127,Walworth County,4803,32154
28087,Lowndes County,2301,26994
28085,Lincoln County,2302,26995
47159,Smith County,4100,32136
28083,Leflore County,2302,26995
28081,Lee County,2301,26994
31179,Wayne County,2600,32104
28089,Madison County,2302,26995
48083,Coleman County,4203,32139
30095,Stillwater County,2500,32100
47009,Blount County,4100,32136
47005,Benton County,4100,32136
47007,Bledsoe County,4100,32136
47001,Anderson County,4100,32136
47003,Bedford County,4100,32136
19111,Lee County,1402,26976
55015,Calumet County,4803,32154
19113,Linn County,1401,26975
39143,Sandusky County,3401,32122
51025,Brunswick County,4502,32147
55011,Buffalo County,4802,32153
19117,Lucas County,1402,26976
55013,Burnett County,4801,32152
51029,Buckingham County,4502,32147
39149,Shelby County,3401,32122
27005,Becker County,2202,26992
27003,Anoka County,2203,26993
27001,Aitkin County,2202,26992
46025,Clark County,4001,32134
51057,Essex County,4502,32147
39153,Summit County,3401,32122
46027,Clay County,4002,32135
19161,Sac County,1401,26975
46035,Davison County,4002,32135
46021,Campbell County,4001,32134
02070,Dillingham CA,5006,26936
51053,Dinwiddie County,4502,32147
27139,Scott County,2203,26993
19029,Cass County,1402,26976
39039,Defiance County,3401,32122
16039,Elmore County,1103,26970
19025,Calhoun County,1401,26975
27133,Rock County,2203,26993
19027,Carroll County,1401,26975
39037,Darke County,3402,32123
16033,Clark County,1101,26968
27137,St. Louis County,2201,26991
19023,Butler County,1401,26975
39033,Crawford County,3401,32122
37139,Pasquotank County,3200,32119
51800,Suffolk city,4502,32147
12051,Hendry County,0901,26958
12053,Hernando County,0902,26959
12055,Highlands County,0901,26958
27013,Blue Earth County,2203,26993
12057,Hillsborough County,0902,26959
